"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Dnajc122",4.88419237690202e-159,1.40227062536231,0.747,0.143,6.76509486124699e-155,"2","Dnajc12"
"Cxcl151",1.63404845290221e-147,1.50653828412388,0.696,0.127,2.26332051211485e-143,"2","Cxcl15"
"Cldn102",3.66266248809425e-146,1.29768733964417,0.88,0.242,5.07315381225935e-142,"2","Cldn10"
"Tspan131",2.51669140209311e-144,1.4241351988941,0.774,0.203,3.48586926103916e-140,"2","Tspan13"
"Tmem1581",1.58636271433203e-142,1.85793853014686,0.883,0.341,2.1972709956213e-138,"2","Tmem158"
"Cd1641",3.89786788888871e-142,1.33794771865841,0.774,0.197,5.39893681289975e-138,"2","Cd164"
"Krt72",3.55912315588275e-141,1.39944708326222,0.922,0.327,4.9297414832132e-137,"2","Krt7"
"Slc12a2",3.84732952432044e-140,1.28055014810059,0.602,0.09,5.32893612413624e-136,"2","Slc12a2"
"Tmed31",5.77866130393987e-135,1.94472938499302,0.955,0.571,8.00402377208711e-131,"2","Tmed3"
"Tmem562",6.90409335114256e-133,1.23431087159134,0.714,0.153,9.56285970066756e-129,"2","Tmem56"
"Cystm11",1.21581736283821e-132,1.2906169830267,0.898,0.335,1.68402862926721e-128,"2","Cystm1"
"Tmprss2",2.00970070247155e-132,1.1841595425993,0.554,0.077,2.78363644299334e-128,"2","Tmprss2"
"Cited12",3.31694368344247e-130,1.42630993086201,0.91,0.251,4.59429869593617e-126,"2","Cited1"
"S100a112",6.30973623612639e-125,1.08373143381702,0.991,0.825,8.73961566065866e-121,"2","S100a11"
"S100a6",5.92532917147995e-119,1.31921757621922,0.982,0.628,8.20717343541688e-115,"2","S100a6"
"Krt182",1.92092234316668e-117,1.12697633551171,1,0.699,2.66066953752017e-113,"2","Krt18"
"Fam69a2",4.2217075699508e-117,1.33576849483053,0.756,0.232,5.84748715513885e-113,"2","Fam69a"
"H2-D1",4.80736963885588e-117,0.917022455263771,1,0.962,6.65868768677928e-113,"2","H2-D1"
"Krt192",1.73656597392604e-107,1.24406996423681,0.997,0.608,2.40531753048496e-103,"2","Krt19"
"Ang4",4.77083569089971e-106,1.06027040288239,0.274,0.009,6.60808451546518e-102,"2","Ang4"
"Tmsb4x2",2.5940233497735e-104,1.27539837107118,1,0.969,3.59298174177128e-100,"2","Tmsb4x"
"Gpx32",5.3698924878772e-104,1.16726318569171,0.816,0.233,7.43783808495871e-100,"2","Gpx3"
"2610305D13Rik",7.7248442909386e-101,1.0180872041131,0.404,0.046,1.06996818273791e-96,"2","2610305D13Rik"
"Cxcl17",2.26667974166011e-99,0.983445414265617,0.383,0.04,3.13957811017341e-95,"2","Cxcl17"
"Nupr11",3.29396640614674e-98,1.78175883452011,0.771,0.271,4.56247286915385e-94,"2","Nupr1"
"Hist1h2bc2",5.23121397935289e-96,1.23841920973311,0.744,0.251,7.24575448280169e-92,"2","Hist1h2bc"
